source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,bp_rp,tmass_designation,j_m,h_m,ks_m,ph_qual
598946559661053568,132.34229404460226,11.57517178597222,0.9336138387879811,7.364093291645157,-5.313497453219268,13.808276176452637,0.7569494247436523,08492213+1134307,12.83899974822998,12.541999816894531,12.45199966430664,AAA
604708992727391488,133.35687207555054,11.599128171222528,1.1541648812691807,-11.28038183067074,-3.0358414581482482,13.384029388427734,0.7267656326293945,08532566+1135568,12.45300006866455,12.166999816894531,12.13700008392334,AAA
598907389559404544,132.48942962676736,11.635470704606124,1.0247844965976887,-4.0556592623508685,-7.343481897853234,13.537103652954102,0.7591342926025391,08495746+1138079,12.567000389099121,12.282999992370605,12.229999542236328,AAA
604908146067299712,132.7354782659877,11.635603634195128,1.1863568069071122,-10.926584592238708,-2.9209529809706103,13.98123836517334,0.7815771102905273,08505653+1138081,12.973999977111816,12.680000305175781,12.640000343322754,AAA
604735007344961792,133.45922238965457,11.718845755231884,1.196853307355594,-11.19689067130405,-2.7530700425465913,12.445137977600098,0.7580556869506836,08535022+1143078,11.456999778747559,11.1899995803833,11.154999732971191,AAA
598958345051315712,132.22484075805184,11.739667029925762,0.7143680617567862,-2.542101559338068,-0.019307012938302046,13.930402755737305,1.0278959274291992,08485396+1144228,12.616000175476074,12.151000022888184,12.090999603271484,AAA
604902717228530304,133.1177344646731,11.75472545156497,9.491171716862127,19.163339756202056,0.1270352704348234,13.618997573852539,2.3158483505249023,08522822+1145170,11.093000411987305,10.472999572753906,10.248000144958496,AAA
604914536978619520,132.74674931693474,11.770265596908839,1.2153311038787973,-10.910390323182911,-2.874539478174464,13.296778678894043,0.7922792434692383,08505923+1146129,12.270999908447266,11.998000144958496,11.934000015258789,AAA
604917320117398528,132.84913659265166,11.78778762734426,1.5846321187428503,-10.086317364210746,-2.9861409607634197,12.632658958435059,0.9622716903686523,08512380+1147160,11.409000396728516,11.008000373840332,10.95300006866455,AAA
604915189813463808,132.69855150188008,11.797939442900473,1.1166606019374001,-11.158271216387444,-3.077473920196346,13.469440460205078,0.7275123596191406,08504766+1147525,12.545999526977539,12.260000228881836,12.23900032043457,AAA
604917594995372544,132.8211975772199,11.804479120262537,1.1620566566117003,-11.379390539143596,-3.0624987384080717,9.921911239624023,1.4008808135986328,08511710+1148160,8.140000343322754,7.526000022888184,7.385000228881836,AAA
604920549932808320,132.81265751758596,11.822526102605199,1.136264899751253,-11.01222952824843,-2.6930481618445015,13.987425804138184,0.7807102203369141,08511505+1149211,13.01200008392334,12.692000389099121,12.642000198364258,AAA
